date,cases,deaths,pos_log,death_log,pos_diff,death_diff,pos_diff_diff,pos_log_diff,box_cox,death_diff_diff
2020-04-18,732262,38659,13.503893652401382,10.562534885899066,28398,1951,-3111,0.039553217741396196,2369.9772400015327,-338
2020-04-19,757596,40179,13.537905541009021,10.601099750055232,25334,1520,-3064,0.034011888607638596,2412.975945036853,-431
2020-04-20,784991,42016,13.573427531730669,10.645805777102522,27395,1837,2061,0.03552199072164797,2458.7161715448465,317
2020-04-21,810505,44688,13.605412789170302,10.707460288184958,25514,2672,-1881,0.031985257439632875,2500.6431003916528,835
2020-04-22,839336,47059,13.640366382037975,10.759157412586816,28831,2371,3317,0.03495359286767297,2547.278340979993,-301
2020-04-23,873112,49228,13.67981911983456,10.804217846292227,33776,2169,4945,0.039452737796585424,2600.961242760191,-202
2020-04-24,909853,51360,13.721038326982752,10.846614938363842,36741,2132,2965,0.04121920714819183,2658.2557031715137,-37
2020-04-25,944261,53327,13.75815788996409,10.884198048496515,34408,1967,-2333,0.03711956298133856,2710.9301580793954,-165
2020-04-26,970996,54580,13.786077627800507,10.90742279426233,26735,1253,-7673,0.027919737836416658,2751.2357976943804,-714
2020-04-27,994193,56022,13.80968663178107,10.93349974971198,23197,1442,-3538,0.023609003980562093,2785.785285155035,189
2020-04-28,1018844,58416,13.83417920921925,10.975345103895418,24651,2394,1454,0.02449257743818123,2822.0860788532286,952
2020-04-29,1045399,60930,13.859909188688853,11.017480943242541,26555,2514,1904,0.025729979469602426,2860.7300850209062,120
2020-04-30,1075756,63140,13.888534228189359,11.053109762111983,30357,2210,3802,0.028625039500505878,2904.3439287389797,-304
2020-05-01,1109726,64902,13.919623695969973,11.080633718858344,33970,1762,3613,0.031089467780613944,2952.4657247298505,-448
2020-05-02,1139200,66485,13.94583681963985,11.104731637290806,29474,1583,-4496,0.02621312366987638,2993.658284129296,-179
2020-05-03,1165340,67816,13.968523447896889,11.124553434288242,26140,1331,-3334,0.022686628257039487,3029.772493436318,-252
2020-05-04,1187302,68905,13.987194064146696,11.140484023309245,21962,1089,-4178,0.018670616249806926,3059.8200966931518,-242
2020-05-05,1211011,71139,14.006966105896122,11.17239098861422,23709,2234,1747,0.019772041749426705,3091.965025330701,1145
2020-05-06,1235517,73847,14.027000063927632,11.20975066425017,24506,2708,797,0.02003395803150987,3124.8800125467474,474
2020-05-07,1263995,75805,14.049787897984913,11.235919532515682,28478,1958,3972,0.02278783405728113,3162.7454022923807,-750
2020-05-08,1291643,77380,14.07142560935297,11.256483628254504,27648,1575,-830,0.021637711368056145,3199.12402585619,-383
2020-05-09,1316511,78834,14.090495613371631,11.275099654869877,24868,1454,-2780,0.01907000401866199,3231.5321996110843,-121
2020-05-10,1336828,79766,14.105810201585559,11.28685262748344,20317,932,-4551,0.015314588213927394,3257.795694470899,-522
2020-05-11,1354449,80748,14.118905287528213,11.299088472976319,17621,982,-2696,0.01309508594265374,3280.4220156695474,50
2020-05-12,1376749,82400,14.13523548077618,11.319340715897564,22300,1652,4679,0.016330193247966918,3308.8582847182593,670
2020-05-13,1397894,84168,14.150477376297495,11.340570080488124,21145,1768,-1155,0.015241895521315385,3335.621701739663,116
2020-05-14,1424856,85906,14.169581313947148,11.361008954194277,26962,1738,5817,0.019103937649653346,3369.4722547251436,-30
2020-05-15,1451093,87499,14.187827623540873,11.37938264370897,26237,1593,-725,0.01824630959372442,3402.123669109682,-145
2020-05-16,1474752,88724,14.204000398026464,11.39328570667068,23659,1225,-2578,0.01617277448559129,3431.3287999940576,-368
2020-05-17,1493766,89568,14.216811005901663,11.40275339231518,19014,844,-4645,0.012810607875199054,3454.64020229331,-381
2020-05-18,1515593,90414,14.231317339483033,11.412154401646209,21827,846,2813,0.014506333581369546,3481.2284633515924,2
2020-05-19,1536570,91934,14.2450632176015,11.428826207278552,20977,1520,-850,0.013745878118466948,3506.6116014844565,674
2020-05-20,1559640,93411,14.259965583363634,11.444764390301508,23070,1477,2093,0.01490236576213455,3534.339330149066,-43
2020-05-21,1585373,94722,14.276330268837752,11.458701564759782,25733,1311,2663,0.016364685474117735,3565.040395437728,-166
2020-05-22,1609172,96010,14.291230318956103,11.472207631691669,23799,1288,-1934,0.01490005011835116,3593.225489567717,-23
2020-05-23,1631440,97060,14.304973618366228,11.483084622959208,22268,1050,-1531,0.013743299410124976,3619.419869665753,-238
